materiale,temperatura_estrusore,temperatura_piatto,velocita_stampa,umidita_ambientale,usura_motore,livello_vibrazioni,tempo_stampa_ore,sintomi,guasto
PLA,199,59,71,73,1098,25,93.1,RumoreCinghia;SottoEstrusione;HomeFallito,GuastoMeccanico
PLA,225,78,116,63,1901,7,32.0,HomeFallito;SchermoNero,ProblemaElettrico
PC,210,51,97,77,240,9,63.6,VentolaRumorosa;SchermoNero,ProblemaElettrico
ABS,232,76,105,41,3363,18,23.0,TempInstabile,ProblemaElettrico
NYLON,226,76,178,51,3761,51,31.8,LayerSpostati;SottoEstrusione,GuastoMeccanico
ABS,216,31,72,65,1503,14,35.6,PiattoFreddo,ProblemaAdesione
ASA,231,50,42,76,2949,23,87.0,HomeFallito;SchermoNero,ProblemaElettrico
TPU,264,48,79,32,1981,9,40.3,TempTroppoAlta,GuastoTermico
PLA,237,71,120,51,4624,86,9.0,RumoreCinghia;SottoEstrusione,GuastoMeccanico
PETG,223,66,52,33,653,20,77.6,SottoEstrusione;HomeFallito,GuastoMeccanico
NYLON,192,50,91,45,3655,16,79.7,RumoreCinghia,GuastoMeccanico
ABS,206,45,150,42,2595,12,86.9,Warping;TicchettioEstrusore;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PLA,200,51,172,30,4977,46,73.4,TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
PLA,193,46,102,75,2439,11,17.8,TempInstabile;SchermoNero,GuastoTermico
PLA,215,54,130,64,2860,14,88.6,TempTroppoAlta;PiattoFreddo;HomeFallito;VentolaRumorosa,GuastoTermico
ASA,265,58,127,45,3280,36,23.8,TempInstabile;TempTroppoAlta,GuastoTermico
NYLON,233,50,73,67,3647,6,15.8,OdoreBruciato,ProblemaElettrico
ASA,214,40,134,49,6951,30,26.3,LayerSpostati;TicchettioEstrusore;HomeFallito;VentolaRumorosa,GuastoMeccanico
PC,204,66,81,75,2077,18,56.9,OdoreBruciato;SchermoNero,ProblemaElettrico
PLA,195,80,176,74,5865,42,35.0,RumoreCinghia;LayerSpostati,GuastoMeccanico
TPU,220,45,138,88,1235,13,71.0,TempInstabile;OdoreBruciato,ProblemaElettrico
PETG,223,48,125,45,2457,10,65.4,TempInstabile;TicchettioEstrusore;OdoreBruciato;SchermoNero,ProblemaElettrico
NYLON,204,49,89,87,3137,14,34.5,TempInstabile;TicchettioEstrusore;OdoreBruciato,ProblemaElettrico
ASA,224,60,121,34,4978,55,65.3,RumoreCinghia;LayerSpostati;HomeFallito,GuastoMeccanico
PETG,191,47,119,74,3650,9,28.0,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,221,42,50,77,3163,17,74.1,TicchettioEstrusore;SchermoNero,ProblemaElettrico
PC,192,64,73,67,3024,10,52.9,TempInstabile;OdoreBruciato,ProblemaElettrico
TPU,210,27,104,68,3135,18,13.3,Warping;FilamentoNonEsce,ProblemaAdesione
ASA,198,41,132,74,1621,11,81.8,Warping,ProblemaAdesione
ASA,191,47,42,52,354,11,91.9,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
ABS,151,41,135,43,4616,44,82.4,TempTroppoAlta,GuastoTermico
PC,160,59,81,74,2394,25,12.0,TicchettioEstrusore;VentolaRumorosa,GuastoTermico
PLA,217,43,109,56,3382,54,71.0,HomeFallito;VentolaRumorosa,GuastoMeccanico
PLA,230,42,137,43,1956,17,65.2,Warping;FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
ABS,214,77,65,46,1643,23,28.6,TempTroppoAlta;PiattoFreddo;TicchettioEstrusore;VentolaRumorosa,GuastoTermico
TPU,236,38,60,58,3732,16,50.8,Warping,ProblemaAdesione
PLA,213,64,141,44,6716,56,73.3,RumoreCinghia;SottoEstrusione;HomeFallito,GuastoMeccanico
NYLON,207,54,68,87,1267,25,12.6,Warping;PiattoFreddo,ProblemaAdesione
ABS,251,62,142,37,3948,50,36.9,PiattoFreddo,GuastoTermico
PLA,281,47,64,36,1213,7,27.1,TempInstabile;PiattoFreddo,GuastoTermico
TPU,277,74,62,50,2958,5,57.3,TempTroppoAlta;PiattoFreddo,GuastoTermico
PETG,227,47,75,58,1549,16,83.3,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
NYLON,191,39,94,66,3595,14,69.2,FilamentoNonEsce,ProblemaAdesione
TPU,225,41,147,74,5098,50,18.0,LayerSpostati;SottoEstrusione;VentolaRumorosa,GuastoMeccanico
ASA,274,76,43,48,4135,10,40.4,TempInstabile;PiattoFreddo,GuastoTermico
ASA,235,72,148,44,795,18,21.9,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
PETG,227,40,75,77,2074,16,94.9,TempInstabile;HomeFallito,ProblemaElettrico
PLA,194,60,144,36,589,18,56.9,TicchettioEstrusore;HomeFallito,GuastoMeccanico
PLA,197,58,88,81,259,21,49.9,TempInstabile;SchermoNero,ProblemaElettrico
PLA,216,60,92,64,892,5,25.7,TempInstabile;HomeFallito,ProblemaElettrico
TPU,197,42,52,30,885,22,0.8,Warping,ProblemaAdesione
TPU,161,68,107,66,4262,15,49.0,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
PETG,231,42,138,89,482,8,24.5,Warping;VentolaRumorosa,ProblemaAdesione
NYLON,286,49,69,58,2008,25,36.7,PiattoFreddo,GuastoTermico
NYLON,202,74,122,70,5267,46,16.7,SottoEstrusione;HomeFallito,GuastoMeccanico
ASA,230,62,92,87,2014,6,82.7,TempInstabile,ProblemaElettrico
TPU,221,38,130,80,2739,17,52.5,Warping;PiattoFreddo,ProblemaAdesione
TPU,212,50,195,73,4394,50,12.1,RumoreCinghia;SottoEstrusione;HomeFallito,GuastoMeccanico
PC,216,58,54,79,2102,6,29.0,TempTroppoAlta;PiattoFreddo,GuastoTermico
PETG,221,45,62,48,1052,16,55.0,TempInstabile,ProblemaElettrico
PC,203,44,114,62,1587,5,83.1,PiattoFreddo,ProblemaAdesione
PC,225,44,104,58,5673,84,73.2,RumoreCinghia;TicchettioEstrusore;HomeFallito,GuastoMeccanico
ABS,192,24,141,57,3690,46,40.3,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PLA,201,77,86,56,3487,13,32.2,SottoEstrusione,GuastoMeccanico
ABS,198,65,197,46,3212,55,8.9,LayerSpostati;TicchettioEstrusore;HomeFallito,GuastoMeccanico
ABS,209,78,68,38,643,11,49.9,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
ABS,225,40,110,42,1905,19,81.7,TempInstabile;SchermoNero,ProblemaElettrico
ABS,215,52,181,52,3404,54,11.2,RumoreCinghia;LayerSpostati;TicchettioEstrusore,GuastoMeccanico
NYLON,197,40,116,73,3364,23,84.5,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,202,43,77,48,3432,17,37.1,RumoreCinghia,GuastoMeccanico
PETG,225,56,149,61,3137,46,4.4,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
PETG,232,55,130,78,138,21,52.4,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
ASA,213,46,40,78,3282,11,48.0,TempInstabile;OdoreBruciato;TicchettioEstrusore,ProblemaElettrico
PLA,229,51,178,55,4794,57,48.8,LayerSpostati,GuastoMeccanico
TPU,215,58,74,35,3218,15,37.3,LayerSpostati;SchermoNero,GuastoMeccanico
ASA,150,80,96,51,2486,18,52.5,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
NYLON,235,22,80,85,2832,22,42.9,Warping,ProblemaAdesione
TPU,193,78,48,80,2018,9,80.4,Warping;PiattoFreddo,ProblemaAdesione
TPU,228,63,108,66,3263,7,5.5,TempInstabile,ProblemaElettrico
PC,238,71,150,34,3776,54,17.4,PiattoFreddo;FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
ASA,220,58,101,71,1643,9,83.0,TicchettioEstrusore,GuastoMeccanico
ASA,229,73,108,31,3720,12,78.0,TempTroppoAlta;VentolaRumorosa,GuastoTermico
NYLON,150,46,49,45,2975,8,59.6,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
ABS,210,23,50,40,3850,12,55.9,Warping;HomeFallito,ProblemaAdesione
PETG,228,74,188,74,3416,56,66.7,RumoreCinghia;LayerSpostati;TicchettioEstrusore,GuastoMeccanico
PLA,191,57,172,51,4042,58,65.6,RumoreCinghia;SottoEstrusione;SchermoNero,GuastoMeccanico
PETG,280,68,83,50,4202,21,59.0,TempInstabile,GuastoTermico
ABS,218,38,89,35,317,9,75.9,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,205,41,118,42,3537,83,72.0,LayerSpostati;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PC,200,65,64,59,305,9,5.6,Warping;TicchettioEstrusore;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,212,77,150,71,4563,32,65.6,TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
PLA,152,72,94,31,4174,19,28.3,TempTroppoAlta;PiattoFreddo,GuastoTermico
NYLON,232,59,154,76,5057,53,35.8,RumoreCinghia;SottoEstrusione,GuastoMeccanico
PC,199,75,116,59,1159,13,73.8,RumoreCinghia,GuastoMeccanico
TPU,261,78,121,62,1251,14,26.7,TempInstabile,GuastoTermico
ASA,226,71,125,69,1772,21,7.4,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
ABS,205,55,139,61,2877,8,91.2,Warping,ProblemaAdesione
ASA,201,71,64,67,3166,15,89.7,Warping;FilamentoNonEsce,ProblemaAdesione
PETG,217,64,54,70,2196,9,45.2,OdoreBruciato;SchermoNero,ProblemaElettrico
PETG,215,61,148,44,1735,20,5.9,FilamentoNonEsce,ProblemaAdesione
ASA,279,71,42,32,2347,16,10.0,VentolaRumorosa,GuastoTermico
NYLON,230,57,136,46,1176,19,61.7,TempInstabile;SchermoNero,ProblemaElettrico
PLA,201,62,197,53,5961,39,6.6,TicchettioEstrusore,GuastoMeccanico
NYLON,224,21,101,85,1860,17,39.1,Warping;TicchettioEstrusore;FilamentoNonEsce,ProblemaAdesione
TPU,230,42,126,37,786,25,50.7,TempTroppoAlta;HomeFallito;VentolaRumorosa,GuastoTermico
TPU,224,74,110,42,5115,90,30.2,HomeFallito;VentolaRumorosa,GuastoMeccanico
TPU,199,33,121,75,832,18,81.6,PiattoFreddo,ProblemaAdesione
TPU,235,63,112,41,1687,19,77.5,RumoreCinghia;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
TPU,203,58,93,68,420,9,37.7,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
PLA,229,42,44,33,610,5,8.3,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,222,42,97,34,1188,20,68.8,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
PLA,215,29,80,69,1488,24,1.2,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,192,80,166,48,4527,53,32.0,RumoreCinghia;SottoEstrusione;HomeFallito,GuastoMeccanico
NYLON,217,66,105,34,208,24,81.6,Warping;FilamentoNonEsce,ProblemaAdesione
